"lek","song.type","year"
"BR1","BR1-A1",2011
"BR1","BR1-A1",2012
"BR1","BR1-A1",2013
"BR1","BR1-A1",2014
"BR1","BR1-C1",2011
"BR1","BR1-C1",2012
"BR1","BR1-C1",2013
"BR1","BR1-C1",2014
"BR1","BR1-D1",2011
"BR1","BR1-D1",2012
"BR1","BR1-D1",2013
"BR1","BR1-E1",2012
"BR1","BR1-E1",2013
"BR1","BR1-E1",2014
"BR1","BR1-D2",2013
"BR1","BR1-D2",2014
"BR1","BR1-D3",2013
"BR1","BR1-D4",2013
"BR1","BR1-C2",2014
"BR1","BR1-E2",2014
"BR1","BR1-A2",2014
"BR1","BR1-E3",2014
"BR1","BR1-F1",2014
"BR2","BR2-A1",2011
"BR2","BR2-A1",2012
"BR2","BR2-A1",2013
"BR2","BR2-C1",2011
"BR2","BR2-C1",2012
"BR2","BR2-C1",2013
"BR2","BR2-A2",2011
"BR2","BR2-A2",2012
"BR2","BR2-A2",2013
"BR2","BR2-D1",2012
"BR2","BR2-D1",2013
"CCE","CCE-A1",1969
"CCE","CCE-A1",1970
"CCE","CCE-A1",1971
"CCE","CCE-C1",1969
"CCE","CCE-C1",1970
"CCE","CCE-C1",1971
"CCE","CCE-D1",1969
"CCE","CCE-D1",1970
"CCE","CCE-D1",1971
"CCE","CCE-E1",1970
"CCE","CCE-E1",1971
"CCE","CCE-C2",1970
"CCE","CCE-C3",1971
"CCE","CCE-F1",1982
"CCE","CCE-F1",1983
"CCE","CCE-F1",1984
"CCE","CCE-F1",1985
"CCE","CCE-F1",1986
"CCE","CCE-F1",1987
"CCE","CCE-F1",1988
"CCE","CCE-F1",1989
"CCE","CCE-F2",1982
"CCE","CCE-F5",1989
"CCE","CCE-F4",1989
"CCE","CCE-F3",1989
"CCE","CCE-G1",1989
"CCE","CCE-H1",2008
"CCE","CCE-H1",2009
"CCE","CCE-I1",2008
"CCE","CCE-I1",2009
"CCE","CCE-I1",2010
"CCE","CCE-I1",2011
"CCE","CCE-I1",2012
"CCE","CCE-I1",2013
"CCE","CCE-I1",2014
"CCE","CCE-I2",2008
"CCE","CCE-I2",2009
"CCE","CCE-I2",2010
"CCE","CCE-I2",2011
"CCE","CCE-I2",2012
"CCE","CCE-I2",2013
"CCE","CCE-I2",2014
"CCE","CCE-J1",2011
"CCE","CCE-J1",2012
"CCE","CCE-J1",2013
"CCE","CCE-J1",2014
"CCE","CCE-I3",2011
"CCE","CCE-K1",2011
"CCE","CCE-J2",2014
"CCL","CCL-A1",1970
"CCL","CCL-D1",1970
"CCL","CCL-D2",1970
"CCL","CCL-E1",1970
"CCL","CCL-C1",1970
"CCL","CCL-F1",1970
"CCL","CCL-F2",1989
"CCL","CCL-H1",1989
"CCL","CCL-J1",1989
"CCL","CCL-K1",2008
"CCL","CCL-K1",2009
"CCL","CCL-K1",2010
"CCL","CCL-K1",2011
"CCL","CCL-K1",2012
"CCL","CCL-G1",2008
"CCL","CCL-I1",2010
"CCL","CCL-K2",2011
"CCL","CCL-L1",2013
"CCL","CCL-L1",2014
"CCL","CCL-L1",2015
"CCL","CCL-L1",2016
"CCL","CCL-L1",2017
"CCL","CCL-L1",2018
"CCL","CCL-L1",2019
"CCL","CCL-L2",2013
"CCL","CCL-L2",2014
"CCL","CCL-L2",2015
"CCL","CCL-L2",2016
"CCL","CCL-L2",2017
"CCL","CCL-L2",2018
"CCL","CCL-L2",2019
"CCL","CCL-M1",2014
"CCL","CCL-N1",2015
"CCL","CCL-N1",2016
"CCL","CCL-N1",2017
"CCL","CCL-N1",2018
"CCL","CCL-N1",2019
"HC1","HC1-A1",1991
"HC1","HC1-C2",1991
"HC1","HC1-C1",1991
"HC1","HC1-D1",1991
"HC1","HC1-E1",1992
"HC1","HC1-F1",1992
"HC1","HC1-F2",1992
"HC1","HC1-F2",1993
"HC1","HC1-F2",1994
"HC1","HC1-F2",1995
"HC1","HC1-F2",1996
"HC1","HC1-F2",1997
"HC1","HC1-F3",1997
"HC1","HC1-G1",1997
"HC1","HC1-C3",1997
"HC1","HC1-H1",1997
"HC1","HC1-I1",1997
"HC1","HC1-J1",1997
"HC1","HC1-A2",1997
"HC1","HC1-K2",2011
"HC1","HC1-K2",2012
"HC1","HC1-K2",2013
"HC1","HC1-K1",2011
"HC1","HC1-K1",2012
"HC1","HC1-K1",2013
"HC1","HC1-C4",2011
"HC1","HC1-C4",2012
"HC1","HC1-C4",2013
"HC1","HC1-L1",2011
"HC1","HC1-K3",2011
"HC1","HC1-M1",2011
"HC2","HC2-A1",1992
"HC2","HC2-C1",1992
"HC2","HC2-C2",1992
"HC2","HC2-D1",1992
"HC2","HC2-C3",1992
"HC2","HC2-E1",2011
"HC2","HC2-E1",2012
"HC2","HC2-E1",2013
"HC2","HC2-E2",2011
"HC2","HC2-G1",2011
"HC2","HC2-F2",2011
"HC2","HC2-F2",2012
"HC2","HC2-F2",2013
"HC2","HC2-F1",2011
"HC2","HC2-F1",2012
"HC2","HC2-F1",2013
"HC2","HC2-H1",2013
"LOC","LOC-A1",2010
"LOC","LOC-A1",2011
"LOC","LOC-A1",2012
"LOC","LOC-A1",2013
"LOC","LOC-A1",2014
"LOC","LOC-A2",2012
"LOC","LOC-A2",2013
"LOC","LOC-A2",2014
"LOC","LOC-A2",2015
"LOC","LOC-A2",2016
"LOC","LOC-A2",2017
"LOC","LOC-C1",2017
"LOC","LOC-C1",2018
"LOC","LOC-C1",2019
"LOC","LOC-D1",2017
"LOC","LOC-E1",2017
"LOC","LOC-F1",2017
"LOC","LOC-G1",2017
"SAT","SAT-A1",1972
"SAT","SAT-C1",1989
"SAT","SAT-C2",1989
"SAT","SAT-D1",1989
"SAT","SAT-D2",1989
"SAT","SAT-D3",1989
"SAT","SAT-E1",1989
"SAT","SAT-F1",1989
"SAT","SAT-F2",2013
"SAT","SAT-G1",2013
"SAT","SAT-G1",2014
"SAT","SAT-G1",2015
"SAT","SAT-G1",2016
"SAT","SAT-G1",2017
"SAT","SAT-G2",2013
"SAT","SAT-G2",2014
"SAT","SAT-G3",2014
"SAT","SAT-G3",2015
"SAT","SAT-G3",2016
"SAT","SAT-G3",2017
"SAT","SAT-H1",2017
"SAT","SAT-G4",2017
"SJA","SJA-A1",1972
"SJA","SJA-B1",1972
"SJA","SJA-C1",2010
"SJA","SJA-C1",2011
"SJA","SJA-C1",2012
"SJA","SJA-C1",2013
"SJA","SJA-C1",2014
"SJA","SJA-C1",2015
"SJA","SJA-C1",2016
"SJA","SJA-C1",2017
"SJA","SJA-C1",2018
"SJA","SJA-E1",2012
"SJA","SJA-F1",2012
"SJA","SJA-F1",2013
"SJA","SJA-F1",2014
"SJA","SJA-D1",2012
"SJA","SJA-D1",2013
"SJA","SJA-D1",2014
"SJA","SJA-F3",2012
"SJA","SJA-D3",2013
"SJA","SJA-F2",2013
"SJA","SJA-F2",2014
"SJA","SJA-D2",2013
"SJA","SJA-D2",2014
"SJA","SJA-D4",2014
"STR","STR-A1",2014
"STR","STR-A3",2014
"STR","STR-A2",2014
"SUR","SUR-A2",1969
"SUR","SUR-A2",1970
"SUR","SUR-B1",1969
"SUR","SUR-B1",1970
"SUR","SUR-B1",1971
"SUR","SUR-B1",1972
"SUR","SUR-D1",1969
"SUR","SUR-D1",1970
"SUR","SUR-D1",1971
"SUR","SUR-D1",1972
"SUR","SUR-A3",1969
"SUR","SUR-A3",1970
"SUR","SUR-A1",1969
"SUR","SUR-A1",1970
"SUR","SUR-A1",1971
"SUR","SUR-A1",1972
"SUR","SUR-D2",1970
"SUR","SUR-D2",1971
"SUR","SUR-D2",1972
"SUR","SUR-A5",1970
"SUR","SUR-A4",1970
"SUR","SUR-E2",1981
"SUR","SUR-E1",1981
"SUR","SUR-E1",1982
"SUR","SUR-E1",1983
"SUR","SUR-E1",1984
"SUR","SUR-E1",1985
"SUR","SUR-E1",1986
"SUR","SUR-E1",1987
"SUR","SUR-E1",1988
"SUR","SUR-E1",1989
"SUR","SUR-B3",1981
"SUR","SUR-E3",1981
"SUR","SUR-E5",1989
"SUR","SUR-E4",1989
"SUR","SUR-F1",2008
"SUR","SUR-F1",2009
"SUR","SUR-F1",2010
"SUR","SUR-F1",2011
"SUR","SUR-F1",2012
"SUR","SUR-F2",2008
"SUR","SUR-F2",2009
"SUR","SUR-F2",2010
"SUR","SUR-F2",2011
"SUR","SUR-G1",2008
"SUR","SUR-G1",2009
"SUR","SUR-H1",2008
"SUR","SUR-H1",2009
"SUR","SUR-H1",2010
"SUR","SUR-H1",2011
"SUR","SUR-H1",2012
"SUR","SUR-I1",2008
"SUR","SUR-F3",2009
"SUR","SUR-J1",2010
"SUR","SUR-J1",2011
"SUR","SUR-J1",2012
"SUR","SUR-J1",2013
"SUR","SUR-J1",2014
"SUR","SUR-J1",2015
"SUR","SUR-H2",2010
"SUR","SUR-H2",2011
"SUR","SUR-H2",2012
"SUR","SUR-F5",2011
"SUR","SUR-H3",2011
"SUR","SUR-F4",2011
"SUR","SUR-F4",2012
"SUR","SUR-J3",2012
"SUR","SUR-J3",2013
"SUR","SUR-J3",2014
"SUR","SUR-J3",2015
"SUR","SUR-J3",2016
"SUR","SUR-J3",2017
"SUR","SUR-J3",2018
"SUR","SUR-J3",2019
"SUR","SUR-L1",2012
"SUR","SUR-J2",2012
"SUR","SUR-K1",2012
"SUR","SUR-K1",2013
"SUR","SUR-K1",2014
"SUR","SUR-K1",2015
"SUR","SUR-K1",2016
"SUR","SUR-K1",2017
"SUR","SUR-K2",2012
"SUR","SUR-K2",2013
"SUR","SUR-K2",2014
"SUR","SUR-K2",2015
"SUR","SUR-K2",2016
"SUR","SUR-K2",2017
"SUR","SUR-K3",2014
"SUR","SUR-J4",2014
"SUR","SUR-K4",2015
"SUR","SUR-K4",2016
"SUR","SUR-J5",2017
"SUR","SUR-J5",2018
"SUR","SUR-J5",2019
"SUR","SUR-J6",2017
"TR1","TR1-A1",2007
"TR1","TR1-C1",2009
"TR1","TR1-D1",2009
"TR1","TR1-D1",2010
"TR1","TR1-D1",2011
"TR1","TR1-D1",2012
"TR1","TR1-D1",2013
"TR1","TR1-D1",2014
"TR1","TR1-E1",2011
"TR1","TR1-D2",2011
"TR1","TR1-D2",2012
"TR1","TR1-D2",2013
"TR1","TR1-D2",2014
"TR1","TR1-E3",2011
"TR1","TR1-E3",2012
"TR1","TR1-E3",2013
"TR1","TR1-E3",2014
"TR1","TR1-E2",2011
"TR1","TR1-F1",2011
"TR1","TR1-F1",2012
"TR1","TR1-F1",2013
"TR1","TR1-F1",2014
"TR1","TR1-D4",2012
"TR1","TR1-D4",2013
"TR1","TR1-D4",2014
"TR1","TR1-D3",2012
"TR1","TR1-D3",2013
"TR1","TR1-D3",2014
"TR1","TR1-E4",2012
"TR1","TR1-E4",2013
"TR1","TR1-D5",2013
"TR1","TR1-D5",2014
"TR1","TR1-F2",2014
"TR2","TR2-A1",2013
"TR2","TR2-A1",2014
"TR2","TR2-C2",2013
"TR2","TR2-C2",2014
"TR2","TR2-C3",2013
"TR2","TR2-C3",2014
"TR2","TR2-C1",2013
"TR2","TR2-C4",2014
"TR2","TR2-D1",2014
"TR2","TR2-A2",2014
"TR2","TR2-A3",2014
"CCE","CCE-I4",2018
"CCE","CCE-I5",2018
"SJA","SJA-F4",2018
"SJA","SJA-F5",2018
"SUR","SUR-K5",2018
"SUR","SUR-K5",2019
"CCL","CCL-N2",2019
"LOC","LOC-G2",2019
"LOC","LOC-F2",2019
"SUR","SUR-K6",2019
"SUR","SUR-J7",2019
